Date,Open,High,Low,Close,Adj Close,Volume
5/4/2019,29.32,29.5,28.98,29.08,28.397108,46383400
8/4/2019,28.889999,29.200001,28.870001,29.17,28.484993,35272800
9/4/2019,29,29.07,28.74,28.889999,28.211567,40535300
10/4/2019,28.9,29.15,28.75,29.07,28.387342,42669700
11/4/2019,29.25,29.49,28.99,29.07,28.387342,50440100
12/4/2019,29.559999,30.219999,29.559999,30.17,29.46151,100192000
15/4/2019,30.1,30.139999,29.66,29.84,29.139259,57438800
16/4/2019,29.299999,30.049999,29,29.879999,29.17832,105168400
17/4/2019,29.83,30.120001,29.459999,30.030001,29.3248,94831600
18/4/2019,29.950001,30.16,29.82,30.030001,29.3248,61796600
22/4/2019,29.93,30.1,29.780001,30.049999,29.344326,34763400
23/4/2019,29.99,30.209999,29.92,30.07,29.363859,41889700
24/4/2019,29.950001,30.17,29.85,30.02,29.315031,40078100
25/4/2019,29.91,30.32,29.9,30.08,29.373623,43243800
26/4/2019,30.17,30.389999,30.049999,30.35,29.637283,40627500
29/4/2019,30.43,31.17,30.41,30.77,30.047421,68408600
30/4/2019,30.799999,30.879999,30.41,30.58,29.861881,47764200
1/5/2019,30.559999,30.889999,30.18,30.26,29.549397,56161000
2/5/2019,30.26,30.559999,30.15,30.5,29.78376,40634100
3/5/2019,30.66,30.799999,30.5,30.709999,29.988827,35256100
6/5/2019,30.110001,30.610001,30.07,30.469999,29.754463,39882000
7/5/2019,30.16,30.17,29.629999,29.92,29.217382,58528400
8/5/2019,29.73,30.110001,29.67,29.799999,29.100197,39903400
9/5/2019,29.42,29.780001,29.280001,29.709999,29.012312,44173500
10/5/2019,29.459999,29.709999,29.190001,29.58,28.885366,59649900
13/5/2019,28.959999,29,28.049999,28.25,27.586599,72547000
14/5/2019,28.360001,28.99,28.209999,28.620001,27.94791,52216100
15/5/2019,28.1,28.49,28.01,28.290001,27.62566,51973200
16/5/2019,28.459999,28.83,28.43,28.59,27.918613,42791500
17/5/2019,28.25,28.639999,28.219999,28.4,27.733076,43772500
20/5/2019,28.4,28.52,28.24,28.4,27.733076,41717600
21/5/2019,28.57,28.75,28.450001,28.690001,28.016268,39258700
22/5/2019,28.51,28.629999,28.35,28.49,27.820963,29177600
23/5/2019,28.129999,28.200001,27.5,27.76,27.108105,59772900
24/5/2019,27.93,28.26,27.860001,28.18,27.518242,35524400
28/5/2019,28.049999,28.25,27.879999,27.9,27.244816,44273400
29/5/2019,27.530001,27.85,27.379999,27.75,27.098339,49818900
30/5/2019,27.77,27.93,26.98,27.16,26.522194,58649300
31/5/2019,26.5,26.870001,26.48,26.6,25.975346,68304200
3/6/2019,26.59,26.99,26.4,26.68,26.053465,50109900
4/6/2019,27.18,27.950001,27.139999,27.92,27.264347,58426400
5/6/2019,27.84,28.01,27.459999,27.91,27.254583,44874400
6/6/2019,27.76,28.040001,27.540001,27.879999,27.372398,38633600
7/6/2019,27.75,27.790001,27.42,27.530001,27.02877,51317200
10/6/2019,27.860001,28.469999,27.84,28.07,27.558937,48305800
11/6/2019,28.379999,28.700001,28.139999,28.24,27.725843,38691800
12/6/2019,28.200001,28.27,27.860001,27.950001,27.441124,33507500
13/6/2019,27.969999,28.16,27.809999,27.940001,27.431307,33404200
14/6/2019,27.91,28.17,27.780001,28.040001,27.529486,37322100
17/6/2019,28.01,28.219999,27.790001,27.93,27.421488,33410100
18/6/2019,28.02,28.799999,27.83,28.620001,28.098927,60170700
19/6/2019,28.700001,28.969999,28.299999,28.32,27.804386,61953500
20/6/2019,28.59,28.610001,27.85,28.27,27.755299,60887200
21/6/2019,28.190001,28.549999,28.08,28.120001,27.60803,69444000
