Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,73.760002,73.860001,73.010002,73.720001,73.720001,1912400
2019-04-23,73.559998,74.000000,73.050003,73.750000,73.750000,2180400
2019-04-24,73.389999,73.870003,72.720001,73.330002,73.330002,2373500
2019-04-25,72.699997,73.580002,72.510002,72.709999,72.709999,3365800
2019-04-26,74.730003,74.730003,72.599998,72.919998,72.919998,3561900
2019-04-29,72.940002,73.820000,72.500000,73.599998,73.599998,2631300
2019-04-30,73.470001,73.739998,72.550003,72.989998,72.989998,3064900
2019-05-01,73.139999,74.110001,73.040001,73.580002,73.580002,2941100
2019-05-02,73.779999,73.949997,72.660004,73.610001,73.610001,2269300
2019-05-03,73.709999,74.779999,73.400002,74.739998,74.739998,2588800
2019-05-06,73.879997,74.510002,73.339996,74.459999,74.459999,1875700
2019-05-07,73.800003,74.449997,73.540001,74.000000,74.000000,2594800
2019-05-08,73.959999,73.959999,72.480003,72.629997,72.629997,2849200
2019-05-09,72.300003,74.400002,72.250000,74.250000,74.250000,3319800
2019-05-10,74.000000,75.320000,73.540001,75.230003,75.230003,3360500
2019-05-13,74.379997,74.739998,73.250000,73.419998,73.419998,3476800
2019-05-14,73.419998,73.870003,73.040001,73.599998,73.599998,2987100
2019-05-15,73.370003,74.779999,73.050003,74.629997,74.629997,3798200
2019-05-16,74.480003,77.129997,74.250000,75.379997,75.379997,4946400
2019-05-17,75.389999,76.320000,75.019997,75.370003,75.370003,3619000
2019-05-20,79.870003,80.930000,75.720001,78.290001,78.290001,20102700
2019-05-21,78.160004,78.290001,76.779999,77.150002,77.150002,6339000
2019-05-22,76.489998,77.129997,76.139999,76.349998,76.349998,3287300
2019-05-23,76.260002,77.000000,75.250000,76.010002,76.010002,3887000
2019-05-24,76.500000,77.449997,75.629997,77.269997,77.269997,3579500
2019-05-28,77.550003,77.980003,75.889999,75.910004,75.910004,5391300
2019-05-29,75.820000,76.650002,75.290001,76.129997,76.129997,3540700
2019-05-30,76.040001,76.570000,75.019997,76.029999,76.029999,4111900
2019-05-31,74.809998,75.250000,73.279999,73.440002,73.440002,5147800
2019-06-03,73.620003,74.639999,73.370003,74.199997,74.199997,2941000
2019-06-04,74.629997,75.739998,74.519997,75.690002,75.690002,3144700
2019-06-05,75.940002,76.550003,75.669998,76.290001,76.290001,1970200
2019-06-06,76.139999,76.440002,74.610001,75.949997,75.949997,2671000
2019-06-07,76.550003,77.139999,76.309998,77.029999,77.029999,2256600
2019-06-10,77.059998,77.379997,76.379997,76.669998,76.669998,3096000
2019-06-11,77.129997,77.459999,74.629997,75.459999,75.459999,3822500
2019-06-12,75.830002,75.900002,74.650002,75.379997,75.379997,3296200
2019-06-13,75.169998,75.279999,74.010002,74.449997,74.449997,4279700
2019-06-14,74.669998,78.000000,74.279999,74.900002,74.900002,4813600
2019-06-17,75.080002,75.430000,74.540001,75.269997,75.269997,2929000
2019-06-18,75.940002,77.129997,75.550003,76.440002,76.440002,4995900
2019-06-19,76.339996,78.500000,76.339996,78.279999,78.279999,3377800
2019-06-20,79.110001,79.260002,77.150002,77.930000,77.930000,3339500
2019-06-21,77.709999,77.750000,75.199997,75.699997,75.699997,5223900
2019-06-24,76.019997,76.550003,75.379997,75.540001,75.540001,2123000
2019-06-25,75.470001,75.500000,74.449997,74.580002,74.580002,2593900
2019-06-26,74.279999,74.400002,72.769997,73.040001,73.040001,4393300
2019-06-27,73.449997,73.720001,72.919998,73.290001,73.290001,2319600
2019-06-28,73.290001,74.489998,72.900002,74.139999,74.139999,4117800
2019-07-01,74.669998,74.669998,73.919998,74.150002,74.150002,2226100
2019-07-02,74.400002,75.779999,73.919998,75.480003,75.480003,2871700
2019-07-03,75.889999,77.029999,75.599998,75.820000,75.820000,2080900
2019-07-05,75.830002,76.430000,75.629997,76.230003,76.230003,1318500
2019-07-08,76.370003,76.389999,75.430000,75.629997,75.629997,1667300
2019-07-09,75.349998,75.830002,75.080002,75.150002,75.150002,3553000
2019-07-10,77.959999,78.949997,77.570000,78.629997,78.629997,14441200
2019-07-11,78.730003,78.879997,76.949997,78.260002,78.260002,10108700
2019-07-12,78.199997,79.730003,78.010002,79.449997,79.449997,63068400
